Synanthedon formicaeformis	GCA_945859745.1	ERR9863249	5
Anorthoa munda	GCA_945859665.1	ERR9902015	5
Apamea sordens	GCA_945859715.1	not found	5
Drepana falcataria	GCA_945859725.1	not found	5
Lumbricus rubellus	GCA_945859605.1	ERR9836431	5
Amphipoea oculea	GCA_945859645.1	ERR9878389	5
Eupeodes corollae	GCA_945859685.1	ERR9913036	5
Episyrphus balteatus	GCA_945859705.1	ERR10042329	5
Epinotia demarniana	GCA_945867215.1	not found	5
Isoperla grammatica	GCA_945910005.1	ERR9878387	5
Brachypalpus laphriformis	GCA_945910035.1	ERR9902007	5
Meconema thalassinum	GCA_946902985.1	ERR7254652	5
Tridacna crocea	GCA_943736015.1	ERR9745005	5
Tridacna gigas	GCA_945859785.1	ERR9878391	5
Telmatherina bonti	GCA_933228915.1	ERR8978456	2
Thunnus maccoyii	GCA_910596095.1	ERR8060487	2
Thunnus albacares	GCA_914725855.1	ERR7979904	2
Melinaea marsaeus rileyi	GCA_918358865.1	ERR7419405	5
Limnoperna fortunei	GCA_944474755.1	ERR9713993	5
